codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;despesatotal
4301;2048442.08;907058.18;563568.87;37516.37;540298.66;543434.4;151361.43;29141;201932.65;75626.28;1855223.6;5581800.23;4905161.44
1003;1380625.3;533184.53;735958.5;63794.28;47687.99;151307;338378.98;10424.51;1077192.89;148084.29;302416.48;3503226.94;3408429.45
1601;2055895.32;1149996.36;718853.93;37234.08;149810.95;47500;4660.16;717.55;552010.66;334985.68;1815207.67;4985790.7;4810977.04
601;1365500.95;756948.49;423901.92;28923.26;155727.28;93622;749554.23;2392.65;36538.57;101673.54;170240.75;2805186.14;2519522.69
1801;1530772.61;662426.17;793553.23;59599.71;15193.5;37025;573197.64;15644.66;253766.9;30379.47;224539.51;2703530.59;2665325.79
104;1934482.89;762073.62;1069238.31;2241.05;100929.91;15000;339753.03;31279.88;30210.01;40644.77;428784.27;3153349.34;2820154.85
702;1379703.78;625363.78;543090.61;28380.42;182868.97;0;81492.93;385617.5;0;57814.89;250440.87;2232877.1;2155069.97
1202;738307.22;393950.53;270754.51;3971.05;69631.13;0;9800.6;849.79;1844;118864.25;76772.78;1971425.43;946438.64
1102;1950259.44;841370.92;876514.35;32640.4;199733.77;0;65809.51;23416.16;247690.15;66891.64;689593.6;3082749;3043660.5
105;5390350.37;2444484;796875.56;743353.55;1405637.26;451521.76;106116.49;3364.6;114158.53;814698.12;830023.19;7577556.79;7710233.06
1203;1324562.91;812179.73;325181.97;20519.86;166681.35;10355.65;5017.55;5790.78;169827.5;205296.94;176596.58;2110111.4;1897447.91
1103;1971231.01;1344371.27;426884.02;40828.13;159147.59;0;19402.42;0;0;51211;583481.44;3046062.64;2625325.87
1302;1961137.44;1089524.61;703853.22;12994.82;154764.79;22500;59804.42;8116;223602.15;121005.91;307626.42;3339002.01;2703792.34
302;8512757.23;2926423.58;3765698.98;3379.28;1817255.39;135997.77;450775.4;10534.72;1578661.12;290535.76;2966396.37;14926915.24;13945658.37
204;764940.74;444540.54;164901.16;15361.74;140137.3;948.28;1182;0;3917.44;52282.91;101960.34;942164.3;925231.71
1504;5842119.53;3534920.88;1264104.47;82623.93;960470.25;6781.26;108379.63;37190.7;88631.54;68977.56;1442724.55;7099981.24;7594804.77
1004;1296030.78;412750.08;644935.34;1387.04;236958.32;0;53714.13;216131.78;113133.98;311526.35;23994.34;2262441.17;2014531.36
205;3127440.72;1858491.84;1103417.97;56448.44;109082.47;0;405650.53;132385.55;137317.3;154766.8;627351.18;4863431.59;4584912.08
501;850344.1;265899.32;472782.39;13706.86;97955.53;0;80526.41;1315.53;242189.21;42204.67;42546.08;1341493;1259126
1405;3563639.36;1495747.86;1535614.66;11817.17;520459.67;0;6887.52;0;17709.06;137823.35;321632.3;3755463.21;4047691.59
1005;1170905.89;853024.39;230473.03;28092.32;59316.15;2737.34;19407.77;415399.86;125484.62;27642.96;216371.09;1979545.04;1977949.53
703;1282335.83;740058.86;417616.74;71530.23;53130;0;34253.74;2916.17;604.98;90958.58;207694.97;1871513.92;1618764.27
1702;1115798.99;537549.08;361553.04;16972.44;199724.43;4752.6;0;3222.19;160764.08;754715.46;264517.35;2347133.68;2303770.67
303;10601705.21;5963327.42;2877558.72;399647.19;1361171.88;0;58227.52;0;75091.79;143722.77;6338889.73;19106312.16;17217637.02
402;5586992.2;1582314.59;3568439.08;68322.85;367915.68;181481.15;174779.26;52585.55;303764.46;369387.49;696596.2;8157222.98;7365586.31
304;1795856.57;977633.96;479639.28;37389.4;301193.93;209060.28;430584.32;52065.7;270041.56;239044.21;433747.61;3617921.73;3430400.25
1104;1478560.31;800494.94;502554.59;35182.66;140328.12;20000;141369.56;35033.92;190830.35;59805.71;93908.83;2372745.91;2019508.68
1006;3616159.84;1103067.27;1974227.42;29930.27;508934.88;10000;362570.08;0;71451.37;134799.7;346521.3;4307474.73;4541502.29
3101;1829516.9;486740.79;772099.84;35342.29;535333.98;49500;0;17839.77;366131.96;36361.68;226057.9;2240494.82;2525408.21
4501;398065.03;160828.89;123461.7;78792.99;34981.45;0;0;0;51038.13;38820.88;73624.68;1017284.32;561548.72
3102;1466466.66;891616.35;363138.38;41128.45;170583.48;0;31687.96;55191.68;834906.7;28234.17;238979.84;3473893.45;2655467.01
1602;2246620.51;1124796.59;1031551.4;22372.05;67900.47;0;0;294493.1;529649.81;85189.85;161288.92;2955328.21;3317242.19
1204;1404968.5;806985.33;454086.29;2872.77;141024.11;5997.24;21796.12;12322.97;39611.46;52104.98;40012.91;1819427.35;1576814.18
602;2136967.76;1219381.7;578010.2;48351.01;291224.85;45768.26;311863.77;408;195922.42;126977.7;522061.24;5334577.11;3339969.15
403;1389921.34;793789.45;265763.39;25089.6;305278.9;6055.17;24626.4;0;154215.77;19192.41;267498.55;1999726.76;1861509.64
1802;942615.56;452901.71;338170.05;14308.16;137235.64;15174.6;309332.29;1031.18;34313.11;32052.45;111087.52;1339773.99;1445606.71
1406;2579788.82;1589175.19;531702.68;207930.43;250980.52;29444.4;226959.41;16354.07;41256.75;141507.35;1450847.7;3801229.58;4486158.5
1105;27759676.55;7325334.03;11692063.58;112188.84;8630090.1;123615.05;1318190.06;1063271.02;2785624.19;1067681.12;3840270.24;40579899.01;37958328.23
1007;639322.85;312438.59;224798.91;29733.16;72352.19;73901.36;92716.91;2202.44;12665.46;25661.01;42403.09;1301373.73;888873.12
502;3785168.66;1587986.57;1479127.71;13981.35;704073.03;379305.23;694551.47;69329.43;1966292.08;139104.51;1631674.03;7145169.98;8665425.41
106;1679463.02;712472.39;800448.18;41310.79;125231.66;14366.13;20864.46;23912.37;441265.17;41450.72;4214555.64;7967533.57;6435877.51
1205;940069.01;561957.88;339247.52;5428.74;33434.87;181.95;108609.63;22231.16;36229.36;47556.47;78925.87;1429028.86;1233803.45
1803;2242431.34;923256.19;1146762.08;14877.42;157535.65;0;128588.04;188225.14;188100.55;101524.53;347328.01;3414543.3;3196197.61
804;1884033.9;605800.05;787185.87;7479.9;483568.08;16471.05;0;17308.66;40977.54;210921.24;70339.1;2129639.28;2240051.49
206;1690401.63;862600.53;552533.31;13951.55;261316.24;0;21230.42;7644.45;372887.64;314152.84;169466.89;2233901.61;2575783.87
903;1461675.44;983736.48;232474.86;30110.29;215353.81;3750;9680.84;0;41082.17;60701.46;101408.92;1973190.98;1678298.83
305;2719216.31;1117596.03;1247809.17;168380.51;185430.6;319532.66;1423677.27;572946.14;3081545.21;1355849.26;585478.55;11734345.32;10058245.4
1407;1388296.64;689517.16;440830.18;48898.73;209050.57;22418.76;31874.87;127777.01;161666.58;141296.62;1088187.54;2872717.3;2961518.02
1703;3700802.99;1961318.17;1304970.86;135256.17;299257.79;1183.86;1089870.11;38608.23;1055641.1;315032.11;1190755.88;8068362;7391894.28
1804;1834219.19;957089.5;807198.3;924.85;69006.54;4140.93;15304.48;13877.49;171585.88;174704.73;231836.33;3250215.63;2445669.03
603;13148804.31;6229807.17;4363669.26;413732.47;2141595.41;576324.66;1648170.06;66029.12;525877.29;1114604.78;2612240.98;16789262.4;19692051.2
604;1550784.17;712947.62;739863.07;21375.89;76597.59;115582.58;57301.55;91000.29;150128.84;471155.58;148671.43;2417157.94;2584624.44
1408;888895.86;447579.5;357903.62;21007.05;62405.69;15354;96228.86;21111.96;4577.33;118494.94;171637.06;1480266.29;1316300.01
1409;2629666.47;1383951.76;1000199.59;12656.27;232858.85;6403.65;218535.76;25371.13;251739.05;962905.87;263488.98;4602817.5;4358110.91
4901;187964.27;124065.01;54820.28;4746.98;4332;0;0;12769.51;507578.87;96665.36;32420.66;708498.44;837398.67
503;3916647.39;1516024.78;1564005.19;306024.89;530592.53;43504.03;476248.24;1432.5;763771.87;393433.79;974770.94;6681831.39;6569808.76
1206;1040622.21;462265.97;426028.26;15568.82;136759.16;0;100624.28;17431.46;154781.17;281270.81;80372.76;1626411.05;1675102.69
207;921571.21;497524.94;336047.91;9798.09;78200.27;22500;27481.3;55422.49;60388.39;60624.86;55961.94;1309283.27;1203950.19
1207;2580106.04;953025.11;1313059.27;11151.57;302870.09;11779.34;24637.73;283.03;18900.33;317801.13;74334.34;4819992.03;3027841.94
1410;2117521.11;1119609.17;887684.53;57450.88;52776.53;14946.42;10503.98;35037.61;39976.2;643403.01;186122.69;2497457.77;3047511.02
107;3353380.24;2053449.06;532432.65;16487.07;751011.46;0;30056.34;18802.98;3267.87;115680.44;301186.86;4933530.45;3822374.73
306;2823476.98;912531.29;1289815.43;44748.31;576381.95;490;131278.95;919.44;177925.3;239644.34;527072.6;4644005.5;3900807.61
108;2286528.21;1037661.94;1021522;19376.85;207967.42;48123.41;201664.24;236609.97;144505.54;75605.76;276859.32;3629919.79;3269896.45
704;2251488.02;1065072.53;839837.15;57676.2;288902.14;40000;31445.5;1542.65;590267.34;46292.17;182786.44;3398444.96;3143822.12
705;6809325.46;4216390.38;1555425.7;550865.05;486644.33;27175.1;18040.38;2336.43;117244.34;138627.8;1890848.75;8673039.56;9003598.26
307;3614781.68;1762988.03;967831.93;61443.29;822518.43;0;161753.8;28806.59;326541.17;11983.56;1287263.19;5824842.66;5431129.99
805;5833015.14;3207911.01;2185971.21;137931.34;301201.58;105534;72359.57;0;79203.27;97674.1;856474.78;7195583.09;7044260.86
1303;5283575.98;2610596.92;1979837.77;19880.92;673260.37;28750;1422395.54;111553.77;603388.31;321197.83;268152.58;7680056.42;8039014.01
208;1935915.57;1035026.15;652233.18;37928.81;210727.43;0;109305.29;16027.4;8970.41;49784.75;251803.54;2413501.73;2371806.96
1411;1044603.61;536645.12;413472.91;27462.7;67022.88;258316;1169881.1;822;86825.44;97360.91;101355.37;3283457.42;2759164.43
605;4837444.97;2254438;1798206.91;205580.09;579219.97;0;58598.52;107805.56;19412.31;100473.38;853161.72;6257659.72;5976896.46
904;1349882.85;444263.78;464936.41;33453.02;407229.64;295;130119.5;4891.31;34065.31;33447.42;337413.18;1886328.55;1890114.57
1008;1051109.73;654539.49;292978.79;19620.88;83970.57;0;25879.71;9433.98;43197.81;24170.22;180419.59;1403497.75;1334211.04
905;1086229.82;374650.67;409847;268255.88;33476.27;0;83782.68;0;13259.32;37983.43;52562.58;1427209.52;1273817.83
404;1244184.95;634953.18;385435.48;65832.69;157963.6;52359.79;172988.02;0;233340.53;878080.72;247987.6;2538680.38;2828941.61
1208;793166.55;357470.31;348988.74;12625.3;74082.2;0;61165.65;269357.4;0;83347.23;87973.49;1917916.28;1295010.32
3103;12052072.6;6985444.59;3801621.2;247592.48;1017414.33;586059.45;133915.55;459987.09;436800.29;453641.47;1175145.56;16328742.39;15297622.01
504;2929766.67;1125361.06;1251956.66;393595.3;158853.65;695.43;134142.39;177209.89;626279.05;210664.63;1280621.5;7506235.26;5359379.56
1209;872651.63;483920.12;269265.04;4446.7;115019.77;0;8820.27;36384.61;3045.3;30340.87;8879.22;1858161.2;960121.9
606;1210031.64;612936.86;396042.93;18868.5;182183.35;135000;31536.58;33678.86;46663.55;145129.29;142498.5;1730569.89;1744538.42
1412;1087942.12;529150.93;471743.15;14504.65;72543.39;0;112221.41;12803;18134.67;171138.71;39240.4;1397099.65;1441480.31
1304;11291136.86;5699680.26;3731078.31;149999.24;1710379.05;455242.48;5270293.5;130292.24;1226835.3;773598.62;1605813.22;20804465.36;20753212.22
906;1364157.02;627154.88;290531.57;36049.24;410421.33;0;51826.82;13874.52;357956.17;296513.91;264544.78;2802238.38;2348873.22
1505;3205900.72;2051150.37;875192.5;30807.9;248749.95;300000;132731.56;10144.32;200236.04;505587.82;225851.85;4046483.2;4580452.31
907;4819455.33;2242976.44;1711529.12;245953.35;618996.42;169669.5;459210.67;661.71;88343.76;138942.48;1907260.11;7516037.55;7583543.56
308;11474621.18;5346148.7;3999579.59;273976.92;1854915.97;67973.01;2271147.92;0;493633.68;2543921.42;2005703.04;19224952.79;18857000.25
4701;1374258.26;754732.7;356458.95;25966.33;237100.28;0;0;0;9260;93393.15;214362.42;1950941.01;1691273.83
505;2484648.52;983847.57;1346943.43;17803.28;136054.24;8578.68;210422.05;405.35;227809.37;226060.49;344722.22;3790944.1;3502646.68
110;3189127.3;1524587.79;1406497.59;102545.61;155496.31;179307;371493.09;95098.46;501819.03;90784.74;588123.7;4964322.31;5015753.32
806;3346751.41;1577706.57;1257142.78;20847.32;491054.74;15065.35;42974.63;112337.26;36733.95;130376.68;265434.16;3874975.35;3949673.44
4201;1163276.08;502438.85;246636.2;27251.32;386949.71;3700;16586.76;8108.31;7546.2;103468.11;2639925.64;4423633.5;3942611.1
807;6430397.34;2799658.83;2091523.4;200497.29;1338717.82;20903.21;174526.11;41550.22;56829.46;172616.13;538367.32;6983270.35;7435189.79
4801;435099.47;219028.73;203962.69;0;12108.05;5465.04;91566.85;10738.95;55210.56;91868.2;7138.48;848397.04;697087.55
4601;778536.65;321126.48;207274.31;100547.77;149588.09;0;0;0;0;42140.33;357416.43;1069430.61;1178093.41
1805;3003907.31;1043657.74;1375874.33;53221.29;531153.95;10080.74;3755303.68;126896.66;275233.69;299905.78;822170.73;7768298.8;8293498.59
1009;8904629.28;2809458.43;3445323.53;250540.21;2399307.11;79462.09;743719.42;8944.91;563907.06;415534;2238339.43;11014503.89;12954536.19
1106;91602020.58;55437645.04;20651939.1;1058528.52;14453907.92;138065.92;1194908.66;1136032.63;950658.68;5340354.3;12657438.39;101481371;113019479.2
808;13261588.26;6538051.03;5356688.79;175680.91;1191167.53;61447;972260.63;516875.15;120783.15;798668.04;1492007.12;16725047.35;17223629.35
1107;14403989.62;8237623.32;2176066.41;253247.64;3737052.25;14520.35;251568.69;39857.75;75142.31;76668.84;2890246.74;16497547.91;17751994.3
1108;3313867.53;1291255.28;1454485.55;136585.08;431541.62;1510;1944652.7;102570.66;383398.33;81395.85;246764.44;6638746.4;6074159.51
607;1907661.54;1004475.15;771820.36;23975.53;107390.5;4689.16;54395.61;90258.68;434409.69;279286.54;153216.89;2928578.43;2923918.11
1305;5149837.54;2420460.25;2011870.63;41685.38;675821.28;0;594075.64;156468.95;1120366.48;100591.79;505904.85;7067322.85;7627245.25
1413;1731758.65;710358.02;849632.58;8955.6;162812.45;5696.65;100914.32;20591.28;136031.19;85359.68;74485.67;2129364.43;2154837.44
405;3051453.86;1148814.54;1337399.68;85943.33;479296.31;49365.16;25727.62;80544.1;426246.64;263563.61;823828.32;4698615.59;4720729.31
3104;1851292.4;913791.64;677700.73;101073.09;158726.94;0;10000;295.8;2237657.02;80905.8;165901.96;4567242.5;4346052.98
4602;737219.82;384610.92;196852.07;8933.69;146823.14;0;76200.15;302959.36;254325.38;57990.99;132253.49;1716134.15;1560949.19
1109;9087265.62;3222683.87;4413367.1;31294.92;1419919.73;74056;592730.97;14486.26;76467.08;1363847.89;251636.24;10372753.52;11460490.06
1306;8686314.6;4269905.77;2872452.54;43221.33;1500734.96;122798;131792.73;0;179550.8;572252.78;570212.83;10162308.16;10262921.74
1806;2173220.72;1138959.02;931626.3;41823.66;60811.74;47814.25;30270.08;174472.89;569568.35;23545.36;263567.78;3584050.39;3282459.43
908;642219.44;310608.76;262713.06;11203.94;57693.68;2460;0;144.56;191034.29;90530.53;87549.73;1223235.58;1013938.55
1307;4130389.97;1560253.82;1693953.89;176559.21;699623.05;1003.65;308202.1;0;53186.52;21846.01;615641.16;5562981.36;5130269.41
1010;2598620.9;1161914.75;1229560.88;17977.01;189168.26;109335.43;9784.73;499419.58;8137.08;214991.38;211574.76;3672629.44;3651863.86
1210;745310.53;426197.98;252312.93;6182.49;60617.13;12412.81;5310.46;43520.69;20214.17;367626.23;38844.86;1218508.03;1233239.75
1308;10750179.32;6772149.87;1466917.09;60716.89;2450395.47;267126.25;2986190.44;40449.07;400918.56;1032391.37;1969148.62;23898502.05;17446403.63
111;1887515.3;1089893.27;659399.39;6369.46;131853.18;197817.53;16729.39;33705.54;31708.14;6545.45;171893.52;3015453.08;2345914.87
909;1326551.24;632637.37;471238.42;24098.84;198576.61;0;0;10184.72;275074.44;174458.24;137325;1870588.67;1923593.64
1603;2317434.59;1170266.34;786914.19;45786.66;314467.4;1895.5;97103.97;330286.74;423852.29;517010.86;339341.76;3784392.81;4026925.71
209;2256593.31;1089754.41;813393.18;38985.07;314460.65;77868.17;240221.48;93282.36;27725.89;117687.45;336576.11;3370989.11;3149954.77
1704;817770.24;428381.74;220203.29;75875.02;93310.19;76500;389356.48;1513.9;99545.64;129129.02;127209.19;1312134.7;1641024.47
608;1591562.73;822916.57;689609.25;27493.31;51543.6;0;0;32754.98;27124.48;174224.64;256430.73;2051674.24;2082097.56
609;1062613.9;623620.9;351903.7;23063.75;64025.55;0;412868.44;163474.6;30447.92;176595.1;171380.41;2141325.31;2017380.37
406;1253672.15;789460.49;368946.95;11446.06;83818.65;0;162618.72;55937.75;787647.52;25794.29;136308.38;2460569.42;2421978.81
407;3289009.71;1634356.35;1151968.26;108272.73;394412.37;1003.94;67153.94;326803.57;361001.26;182783;319368.11;4249617.36;4547123.53
408;1945914.54;614115.71;1168288.2;75871.02;87639.61;44318.99;486776.05;0;324645.7;209580.54;348243.93;2866591.31;3359479.75
1807;1273035.45;636377.48;441737.55;40612.46;154307.96;242867.58;218010.06;31340.35;122494.77;46273.35;455483.52;2401006.45;2389505.08
1506;5038659.76;3047816.72;997399.88;37960.18;955482.98;6939.06;146159.23;470085.07;11376.88;486629.44;387998.66;6719039.97;6547848.1
1604;2020962.43;1011633.38;669152.26;40512.79;299664;174350.88;300460.15;71605.62;270936.87;23853.91;1520281.21;4573056.2;4382451.07
809;1301396.43;770420.79;395530.28;30354.91;105090.45;0;63389.36;18906.66;186187.38;10498.02;283056.4;1997891.32;1863434.25
1705;1199524.31;636279.48;359338.12;115684.3;88222.41;0;240753.62;1282.23;46273.54;298494.58;91257.51;1678426.37;1877585.79
1211;974250.33;574818.31;332368.79;17211.94;49851.29;0;17855.12;5357.67;3396.77;29106.76;138799.98;1163608.78;1168766.63
1706;2236279.65;927853.07;1066907.43;21703.62;219815.53;31574.76;222183.95;95960.74;378023.72;62667.92;308059.76;3866045.75;3334750.5
706;2719753.68;1501698.19;788660.34;19643.9;409751.25;58360.96;109240.91;96043.94;57500.61;213276.11;260894.56;3718163.56;3515070.77
610;1886375.61;1020803.3;601302.49;178583.85;85685.97;9103.35;1288524.11;120474.08;586252.12;112431.53;380981.98;4670575.7;4384142.78
1507;4386176.13;2980324.07;873877.82;81192.67;450781.57;0;50776.75;93933.36;77163.99;94485.45;825383.82;5225411.25;5527919.5
707;1076938.03;511918.03;377897.47;7916.36;179206.17;9340.57;4956.13;80522.89;72223.34;26478.09;73387.12;1539519.96;1343846.17
1808;1055572.26;583240.64;297284.81;18118.29;156928.52;106.09;15023.43;11685.15;39166.41;183166.14;115412.27;3951933.29;1420131.75
210;2208128.04;1288579.48;723958.61;17418.67;178171.28;0;0;80347.76;179422.84;281325.29;347470.11;2971977.57;3096694.04
708;984017.14;653156.61;179804.99;57342.66;93712.88;0;0;10161.21;43751.67;24153.07;106883.88;1031816.88;1168966.97
1707;989031.84;504830.52;254359.38;45023.05;184818.89;0;1232890.89;44847.15;45214.85;10145.93;342009.04;2005653.27;2664139.7
112;640022.32;375664.78;205188.53;4511.37;54657.64;24235;382523.59;0;150329.24;101622.56;33114.93;1398936.19;1331847.64
1011;2037185.03;1118128.93;682196.09;136373.68;100486.33;5457.34;13477.42;1473.2;10995.4;62630.23;351422.64;3323033.98;2482641.26
1809;1727754.49;1038988.41;466800.57;84195.78;137769.73;12015.8;7185.62;12276.04;37798.94;9300.16;171282.52;1973879.12;1977613.57
1212;1836006.89;958578.31;595174.2;34098.23;248156.15;0;18798.14;20810.44;557874.38;122176.31;860556.68;3340769.18;3416222.84
4202;747099.04;386155.18;223051.87;25198.09;112693.9;0;15715.09;4711.32;136698.55;10984.28;77998.33;1194048.22;993206.61
1012;1893690.94;1269171.5;434290.16;41086.63;149142.65;150000;210651.53;5160;71844.81;42128.27;154209.93;2424838.89;2527685.48
211;4926423.11;2201881.14;1851424.18;35747.89;837369.9;76677.89;52939.92;288780.9;342713.38;240953.1;286307.13;7248866.03;6214795.43
1116;9084337.23;4945684.76;2174122.05;82441.91;1882088.51;10012.6;645993.88;772748.32;577336.99;231015.25;896686.97;12326701.39;12218131.24
1110;11614206.22;7005170.06;3671734.99;159524.46;777776.71;894221.15;1413902.99;1182090.41;678788.21;1148886.73;575718.83;17407137.36;17507814.54
506;1154742.33;422168.54;638468.52;8073.85;86031.42;28013.08;65172.73;16450.98;380688.78;270161.93;137948.29;2206193.25;2053178.12
810;4759194.55;2678304.88;1650637.95;61616.25;368635.47;6594.88;91992.25;53401.87;39095.77;185557.48;342571.9;5714823.19;5478408.7
113;5058250.58;2216516.69;1437268.05;193731.05;1210734.79;12250;21194.43;18444.04;74036.09;85359.66;697784.24;6314111.59;5967319.04
1810;1249216;513545.07;589354.36;66232.24;80084.33;0;427450.53;10594.54;189438.42;73069.44;116711.6;2223071.35;2066480.53
114;2065421.63;964450.6;812510.06;69410.23;219050.74;56950;1061908.58;135036.22;443744.57;100162.27;469393.55;3826263.98;4332616.82
611;2441245.3;944387.26;1223718.48;27617.8;245521.76;444.98;21993.56;69905.74;311125.45;200134.22;216673.74;2880746.03;3261522.99
1421;4312869.14;1689145.57;2117997.22;30187.5;475538.85;143000;606883.6;52352.88;151782.56;32882.5;208444.69;7840638.43;5508215.37
212;1631646.72;954946.19;509806.61;65075.24;101818.68;0;87485.09;4309.2;54104.85;242086.85;192414.13;2248951.72;2212046.84
115;4912685.42;1852246.18;2281481.27;18733.33;760224.64;168642.82;809040.67;46506.2;603522.34;240925.52;423835.24;6517564.39;7205158.21
1309;3820583.72;1789453.91;1390770.79;198565.37;441793.65;95199.67;1016717.84;84148.12;100239.4;290922.08;623035.47;5895020.37;6030846.3
1508;6172844.86;4089411.15;1560716.27;35678.41;487039.03;0;15763.85;25804.39;16446.01;90244.9;76087.63;7997766.5;6397191.64
612;1327118.38;554784.12;633741.05;3562.07;135031.14;7750;117968.27;91124.95;296119.75;372434.96;150014.51;2629152.7;2362530.82
1310;7228675.68;3213112.69;3027843.9;70112.77;917606.32;188251.61;7304097.91;343617.18;861899.04;189751.58;830648.03;19983752.4;16946941.03
1605;1440418.27;658988.4;614910.63;15965.01;150554.23;0;182145.8;48645.78;297039.65;712338.84;214491.3;2737064.61;2895079.64
1013;965491.54;469169.72;420323.97;10700.91;65296.94;15300;62378.95;0;303285.09;28887.96;75456.32;1490141.74;1450799.86
613;1367527.33;540458.36;681470.77;2022.01;143576.19;270000;121093.71;41496.12;118765.95;31664.35;116014.51;2248669.15;2066561.97
1311;5083173.24;2336995.52;1897782;108731.43;739664.29;0;831901.29;108004.74;573132.31;694109.23;559820.95;8447784.2;7850141.76
1811;918973.65;458616.31;350586.91;3256.56;106513.87;35443.83;3487.97;5200.46;61696.4;29160.89;112254.23;2004146.51;1166217.43
507;1094541.65;444842.19;467436.09;48540.94;133722.43;15000;337755;141624.34;488755.62;259358.22;227208.74;2651786.8;2564243.57
1812;666084.02;332543.77;271468.94;0;62071.31;15000;198092.64;5580.39;2183.94;23749.12;13000;1407178.78;923690.11
614;930110.02;421699.54;351406.5;25492.3;131511.68;0;75148.98;17827.32;83293.8;112371.96;56870.81;1746629.44;1275622.89
1014;2871802.25;1496266.75;1106792.78;23492.95;245249.77;0;26820.41;303.7;247361.61;92006.2;210423.5;3760182.04;3448717.67
1708;1962363.35;1042662.12;666831.31;46001.96;206867.96;135699.95;601321.47;96747.42;96801.88;1137845.01;142711.18;4224689.83;4173490.26
